#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EONIA/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768442.23,-4.65
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EONIA/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768569.44,-131.86
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EONIA/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768379.17,58.41
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EONIA/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2767493.50,944.08
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768426.35,11.23
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-2768437.58,0.000100,0.000100,-2767948.78,488.80
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768462.49,-24.91
EqSwap_STOXX_decomp,DiscountCurve/EUR/1/1M:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2769421.05,-983.47
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768301.60,135.99
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768434.43,3.16
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2768430.49,7.09
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
