#MarketObjectType,MarketObjectName
CapFloorVol,EUR-EONIA|EUR-EURIBOR-1M|EUR-EURIBOR-6M|GBP-LIBOR-6M|MXN-TIIE-28D|USD-FedFunds|USD-SOFR|USD-SOFR-3M
ZeroInflationCurve,AUCPI|EUHICPXT|UKRPI
YoYInflationCurve,AUCPI|EUHICPXT
ZeroInflationCapFloorVol,AUCPI|EUHICPXT
YoYInflationCapFloorVol,AUCPI|EUHICPXT
EquityCurves,FIGI:BBG00R251JN8|ISIN:GB0005405286:HKD:XHKG|RIC:.NDX|RIC:.SPX|RIC:.STOXX50|RIC:.STOXX50E|RIC:0005.HK|RIC:AMZN.O|RIC:CR.N|RIC:DHER.DE|RIC:LYV.N|RIC:MSFT.O|RIC:ON.O
EquityVols,ISIN:GB0005405286:HKD:XHKG|RIC:.NDX|RIC:.SPX|RIC:.STOXX50|RIC:.STOXX50E|RIC:0005.HK|RIC:DHER.DE|RIC:LYV.N|RIC:ON.O
Securities,CallableBond_CALL|CallableBond_PUT|CallableBond_PUTCALL|ISIN:DE000A3H2WP2|ISIN:IE00BH3SQ895|ISIN:IT0005177909|ISIN:US531229AR32|ISIN:US682189AS48|ISIN:US912828X703|ISIN:XS0983610930|SECURITY_1
CommodityCurves,ICE:B|NYMEX:A7Q|NYMEX:CL|NYMEX:NG|PM:XAUUSD|XLME:AH
CommodityVolatilities,ICE:B|NYMEX:CL|NYMEX:NG
Correlation,COMM-NYMEX:CL&COMM-ICE:B|EQ-RIC:.SPX&EQ-RIC:.NDX|EQ-RIC:.STOXX50E&EQ-RIC:.SPX|EUR-CMS-10Y&EUR-CMS-1Y|EUR-CMS-10Y&EUR-CMS-2Y|FX-GENERIC-EUR-CZK&FX-GENERIC-EUR-CHF|FX-GENERIC-EUR-NOK&FX-GENERIC-EUR-CHF|FX-GENERIC-EUR-NOK&FX-GENERIC-EUR-CZK|FX-GENERIC-EUR-SEK&FX-GENERIC-EUR-CHF|FX-GENERIC-EUR-SEK&FX-GENERIC-EUR-CZK|FX-GENERIC-EUR-SEK&FX-GENERIC-EUR-NOK|FX-GENERIC-EUR-USD&EQ-RIC:.SPX|FX-GENERIC-EUR-USD&EQ-RIC:.STOXX50E|FX-GENERIC-USD-CAD&FX-GENERIC-EUR-USD|FX-GENERIC-USD-JPY&FX-GENERIC-EUR-USD|FX-GENERIC-USD-SEK&FX-GENERIC-EUR-USD|FX-GENERIC-USD-SEK&FX-GENERIC-USD-CAD|USD-CMS-30Y&USD-CMS-2Y
YieldVol,BondOptionVols-EUR
