#datumDate,datumId,datumValue
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/1Y/6M/0/0/0.09,0.0216473400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/1Y/6M/0/0/0.1,0.0234689400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/-0.01,0.0055211200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0,0.0059884000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.01,0.0062198400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.02,0.0066088000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.03,0.0069731200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.04,0.0073198400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.05,0.0076568800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.06,0.0082244800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.07,0.0087375200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.08,0.0094265600
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.09,0.0101367200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/20Y/6M/0/0/0.1,0.0108618400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/-0.01,0.0037416400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0,0.0032761400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.01,0.0054243000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.02,0.0075910800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.03,0.0095804800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.04,0.0113689800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.05,0.0130722200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.06,0.0147205800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.07,0.0163258200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.08,0.0178938200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.09,0.0194294800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/2Y/6M/0/0/0.1,0.0209367200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/-0.01,0.0042786700
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0,0.0034435000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.01,0.0053670100
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.02,0.0071818800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.03,0.0089346700
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.04,0.0106030700
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.05,0.0121618600
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.06,0.0136886400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.07,0.0152183300
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.08,0.0166859400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.09,0.0181031100
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/3Y/6M/0/0/0.1,0.0194746900
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/-0.01,0.0046838400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0,0.0040512000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.01,0.0057955200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.02,0.0073766400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.03,0.0089289600
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.04,0.0104112000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.05,0.0118099200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.06,0.0132009600
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.07,0.0146438400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.08,0.0160262400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.09,0.0173356800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/4Y/6M/0/0/0.1,0.0185971200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/-0.01,0.0050549500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0,0.0045733000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.01,0.0060895000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.02,0.0074423000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.03,0.0088046000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.04,0.0101222500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.05,0.0113800500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.06,0.0126359500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.07,0.0140239000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.08,0.0153767000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.09,0.0166117000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/5Y/6M/0/0/0.1,0.0178115500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/-0.01,0.0053392000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0,0.0050036200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.01,0.0062857800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.02,0.0074589000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.03,0.0086480000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.04,0.0098201800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.05,0.0109547600
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.06,0.0120808800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.07,0.0134053400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.08,0.0147354400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.09,0.0159142000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/6Y/6M/0/0/0.1,0.0170675800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/-0.01,0.0055679100
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0,0.0053372700
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.01,0.0063686400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.02,0.0073907100
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.03,0.0084313800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.04,0.0094841400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.05,0.0105369000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.06,0.0115859400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.07,0.0128200500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.08,0.0141062400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.09,0.0152678100
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/7Y/6M/0/0/0.1,0.0163921800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/8Y/6M/0/0/-0.01,0.0057417200
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/8Y/6M/0/0/0,0.0056046400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/8Y/6M/0/0/0.01,0.0064050400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/8Y/6M/0/0/0.02,0.0073038800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/8Y/6M/0/0/0.03,0.0082137600
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/8Y/6M/0/0/0.04,0.0091549200
