#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
Swap_20y,Swap,2044-06-10,20.000000,-1147527.153178,EUR,-1147527.153178,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swap_20y_USD,Swap,2044-06-10,20.000000,-2724204.650927,USD,-2498541.160536,EUR,10000000.00,USD,9171635.32,CPTY_A,CPTY_A
