#TradeId,NettingSet,CVA_Base,CVA,Change,IndexCurve,SwaptionVolatility,SurvivalProbability
,,92722.5459,82679.9604,-10042.5855,-14957.2876,882.9300,5106.8927
Swap_20y,Swap_20y,161580.6945,151453.0670,-10127.6275,-27444.9103,1583.8208,19353.6814
Swap_20y_USD,Swap_20y_USD,41820.7886,46276.9967,4456.2081,-42.7007,64.3648,4331.2944
