#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
FX_Forward_2D,FxForward,1,0,2022-02-04,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9997763165,999776.3164782912,1.0844549000,1084212.3253088337,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX_Forward_2D,FxForward,1,1,2022-02-04,Notional,-1090000.0000,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9995000089,-1089455.0097334618,1.0000000000,-1089455.0097334618,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
