#Scenario,Key,Factor,BaseValue,ShiftSize
parallel_rates,IndexCurve/EUR-EONIA/13,IndexCurve/EUR-EONIA/13/20Y,0.01930009,0.00010000
parallel_rates,IndexCurve/EUR-EONIA/14,IndexCurve/EUR-EONIA/14/25Y,0.01983192,0.00010000
parallel_rates,IndexCurve/EUR-EONIA/15,IndexCurve/EUR-EONIA/15/30Y,0.02010060,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/0,IndexCurve/EUR-EURIBOR-1M/0/2W,-0.00050673,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/1,IndexCurve/EUR-EURIBOR-1M/1/1M,-0.00039865,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/2,IndexCurve/EUR-EURIBOR-1M/2/3M,-0.00015440,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/3,IndexCurve/EUR-EURIBOR-1M/3/6M,-0.00095888,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/4,IndexCurve/EUR-EURIBOR-1M/4/9M,-0.00129879,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/5,IndexCurve/EUR-EURIBOR-1M/5/1Y,-0.00152015,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/6,IndexCurve/EUR-EURIBOR-1M/6/2Y,-0.00179949,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/7,IndexCurve/EUR-EURIBOR-1M/7/3Y,-0.00147074,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/8,IndexCurve/EUR-EURIBOR-1M/8/4Y,-0.00079174,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/9,IndexCurve/EUR-EURIBOR-1M/9/5Y,0.00008897,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/10,IndexCurve/EUR-EURIBOR-1M/10/7Y,0.00221862,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/11,IndexCurve/EUR-EURIBOR-1M/11/10Y,0.00572860,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/12,IndexCurve/EUR-EURIBOR-1M/12/15Y,0.00938779,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/13,IndexCurve/EUR-EURIBOR-1M/13/20Y,0.01062757,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/14,IndexCurve/EUR-EURIBOR-1M/14/25Y,0.01120019,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-1M/15,IndexCurve/EUR-EURIBOR-1M/15/30Y,0.01108177,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/0,IndexCurve/EUR-EURIBOR-3M/0/2W,0.00949327,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/1,IndexCurve/EUR-EURIBOR-3M/1/1M,0.00960135,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/2,IndexCurve/EUR-EURIBOR-3M/2/3M,0.00984560,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/3,IndexCurve/EUR-EURIBOR-3M/3/6M,0.00904112,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/4,IndexCurve/EUR-EURIBOR-3M/4/9M,0.00870121,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/5,IndexCurve/EUR-EURIBOR-3M/5/1Y,0.00847985,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/6,IndexCurve/EUR-EURIBOR-3M/6/2Y,0.00820051,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/7,IndexCurve/EUR-EURIBOR-3M/7/3Y,0.00852926,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/8,IndexCurve/EUR-EURIBOR-3M/8/4Y,0.00920826,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/9,IndexCurve/EUR-EURIBOR-3M/9/5Y,0.01008897,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/10,IndexCurve/EUR-EURIBOR-3M/10/7Y,0.01221862,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/11,IndexCurve/EUR-EURIBOR-3M/11/10Y,0.01572860,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/12,IndexCurve/EUR-EURIBOR-3M/12/15Y,0.01938779,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/13,IndexCurve/EUR-EURIBOR-3M/13/20Y,0.02062757,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/14,IndexCurve/EUR-EURIBOR-3M/14/25Y,0.02120019,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-3M/15,IndexCurve/EUR-EURIBOR-3M/15/30Y,0.02108177,0.00010000
