#datumDate,datumId,datumValue
2022-03-01,DISCOUNT/RATE/USD/USD3M/60Y,0.2782900000
2022-03-01,DISCOUNT/RATE/USD/USD3M/6M,0.9893300000
2022-03-01,DISCOUNT/RATE/USD/USD3M/6Y,0.8388100000
2022-03-01,DISCOUNT/RATE/USD/USD3M/70Y,0.2429900000
2022-03-01,DISCOUNT/RATE/USD/USD3M/7M,0.9868200000
2022-03-01,DISCOUNT/RATE/USD/USD3M/7Y,0.8148100000
2022-03-01,DISCOUNT/RATE/USD/USD3M/8M,0.9842600000
2022-03-01,DISCOUNT/RATE/USD/USD3M/8Y,0.7909600000
2022-03-01,DISCOUNT/RATE/USD/USD3M/9M,0.9817900000
2022-03-01,DISCOUNT/RATE/USD/USD3M/9Y,0.7673600000
