#TradeId,TradeType,NumberOfPricings,CumulativeTiming,AverageTiming
FXFWD_EURUSD_10Y,FxForward,40002,120000,2
FXFWD_MATURING,FxForward,0,0,0
FX_CALL_MATURING,FxOption,0,0,0
FX_CALL_OPTION_EURUSD_10Y,FxOption,40002,60000,1
FX_PUT_OPTION_EURUSD_10Y,FxOption,40002,80000,1
