#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
eonia_up,CPTY_A,2023-05-05,7.244098,4163120.00,13677110.00,19560839.72,0.00,5566584.14,5566584.14,2052694.36,2098504.34
eonia_up,CPTY_A,2023-08-07,7.501632,4242023.50,13268206.00,20488443.08,0.00,5730930.37,5730930.37,2178969.78,2223207.09
eonia_up,CPTY_A,2023-11-06,7.750947,4200303.00,13445425.00,19933774.57,0.00,5731546.98,5731546.98,2293241.11,2336055.50
eonia_up,CPTY_A,2024-02-05,8.000000,4137829.50,13082928.00,20168132.92,0.00,5702994.59,5731546.98,2399392.31,2441762.69
eonia_up,CPTY_A,2024-05-06,8.248634,4429088.50,13036539.00,23825774.80,0.00,6165720.00,6165720.00,2512918.58,2554011.82
eonia_up,CPTY_A,2024-08-05,8.497268,4653432.00,12836552.00,24682921.04,0.00,6543074.21,6543074.21,2630842.75,2670733.58
eonia_up,CPTY_A,2024-11-05,8.748634,4622825.50,12950793.00,26021610.82,0.00,6566027.62,6566027.62,2743908.65,2782653.34
eonia_up,CPTY_A,2025-02-05,9.000262,4838211.00,12833979.00,31084488.66,0.00,6941713.65,6941713.65,2861270.32,2898931.79
eonia_up,CPTY_A,2025-05-05,9.244098,5028655.00,12918241.00,29694895.74,0.00,7285805.56,7285805.56,2977978.22,3014646.28
eonia_up,CPTY_A,2025-08-05,9.496152,5504827.50,12931552.00,34294578.29,0.00,8056684.31,8056684.31,3112781.48,3148476.26
eonia_up,CPTY_A,2025-11-05,9.748207,5468960.50,13026622.00,35965740.44,0.00,8085452.72,8085452.72,3241357.49,3276129.33
eonia_up,CPTY_A,2026-02-05,10.000262,736071.50,384043.22,2604209.04,0.00,1099275.30,8085452.72,3187366.70,3397347.45
eonia_up,CPTY_A,2026-05-05,10.244098,698413.19,373638.97,2766256.94,0.00,1053277.24,8085452.72,3136569.93,3508936.30
eonia_up,CPTY_A,2026-08-05,10.496152,696775.75,408812.50,2694028.53,0.00,1061475.87,8085452.72,3086738.58,3618836.85
eonia_up,CPTY_A,2026-11-05,10.748207,624223.06,426662.56,2444855.46,0.00,960602.60,8085452.72,3036878.85,3723582.87
eonia_up,CPTY_A,2027-02-05,11.000262,623242.38,429059.91,2849655.85,0.00,968830.35,8085452.72,2989492.57,3823528.69
eonia_up,CPTY_A,2027-05-05,11.244098,686293.63,361993.38,2819332.33,0.00,1077319.48,8085452.72,2948025.84,3915951.30
eonia_up,CPTY_A,2027-08-05,11.496152,639132.75,363319.97,2542627.62,0.00,1013473.65,8085452.72,2905610.51,4007368.22
eonia_up,CPTY_A,2027-11-05,11.748207,554589.38,387639.88,2117268.59,0.00,888341.18,8085452.72,2862330.51,4094862.49
eonia_up,CPTY_A,2028-02-07,12.005464,537275.19,396649.22,1949911.70,0.00,869535.33,8085452.72,2819628.20,4180374.25
eonia_up,CPTY_A,2028-05-05,12.245902,599551.25,321808.34,2158554.09,0.00,979744.47,8085452.72,2783503.75,4257046.92
eonia_up,CPTY_A,2028-08-07,12.502732,575455.13,333166.59,2329007.36,0.00,950123.67,8085452.72,2745842.53,4335689.87
eonia_up,CPTY_A,2028-11-06,12.751366,491231.78,347927.09,1853024.47,0.00,819208.16,8085452.72,2708275.85,4408805.02
eonia_up,CPTY_A,2029-02-05,13.000262,470608.84,352205.06,1753907.30,0.00,792696.65,8085452.72,2671601.22,4479196.10
eonia_up,CPTY_A,2029-05-07,13.249577,520573.09,282493.22,1711043.77,0.00,885661.51,8085452.72,2637995.49,4547054.42
eonia_up,CPTY_A,2029-08-06,13.498892,482085.56,285416.38,1638856.40,0.00,828417.53,8085452.72,2604573.86,4612406.16
eonia_up,CPTY_A,2029-11-05,13.748207,411963.09,304886.28,1578955.36,0.00,715027.24,8085452.72,2570308.12,4675387.67
eonia_up,CPTY_A,2030-02-05,14.000262,390228.09,311204.38,1534180.11,0.00,684178.82,8085452.72,2536351.04,4736781.04
eonia_up,CPTY_A,2030-05-06,14.246837,438933.56,237034.63,1538090.65,0.00,777215.26,8085452.72,2505905.02,4794737.75
eonia_up,CPTY_A,2030-08-05,14.496152,423088.50,253497.77,1562474.19,0.00,756681.05,8085452.72,2475820.63,4851333.79
eonia_up,CPTY_A,2030-11-05,14.748207,340900.94,275419.91,1416998.20,0.00,615880.78,8085452.72,2444033.26,4906606.62
eonia_up,CPTY_A,2031-02-05,15.000262,320023.44,290001.00,1267527.09,0.00,584032.49,8085452.72,2412779.00,4960021.92
eonia_up,CPTY_A,2031-05-05,15.244098,357893.00,207472.66,1310640.03,0.00,659556.81,8085452.72,2384735.49,5010014.47
eonia_up,CPTY_A,2031-08-05,15.496152,334711.72,220872.94,1259544.29,0.00,623098.55,8085452.72,2356081.34,5060038.43
eonia_up,CPTY_A,2031-11-05,15.748207,271161.22,246080.52,1141480.13,0.00,509917.88,8085452.72,2326532.94,5108461.10
eonia_up,CPTY_A,2032-02-05,16.000000,253414.84,246119.75,1189665.61,0.00,481383.84,8085452.72,2297495.74,5155310.16
eonia_up,CPTY_A,2032-05-05,16.245902,292577.22,174303.84,1224698.62,0.00,561295.34,8085452.72,2271216.22,5199661.46
eonia_up,CPTY_A,2032-08-05,16.497268,268511.72,179724.50,1077186.58,0.00,520356.49,8085452.72,2244538.66,5243631.78
eonia_up,CPTY_A,2032-11-05,16.748634,208819.42,200591.73,946509.46,0.00,408785.46,8085452.72,2216987.39,5286282.28
eonia_up,CPTY_A,2033-02-07,17.005741,184205.19,199497.08,810113.84,0.00,364341.46,8085452.72,2188977.48,5328602.57
eonia_up,CPTY_A,2033-05-05,17.244098,219487.97,130100.40,873111.69,0.00,438294.35,8085452.72,2164778.70,5366709.07
eonia_up,CPTY_A,2033-08-05,17.496152,194866.08,136679.55,823745.59,0.00,393077.52,8085452.72,2139255.04,5405876.10
eonia_up,CPTY_A,2033-11-07,17.753687,130941.29,153148.80,543279.39,0.00,266870.61,8085452.72,2112094.31,5444745.93
eonia_up,CPTY_A,2034-02-06,18.003002,114505.63,160000.55,507378.95,0.00,235716.59,8085452.72,2086109.24,5481315.83
eonia_up,CPTY_A,2034-05-05,18.244098,149672.27,93203.76,494256.23,0.00,311100.49,8085452.72,2062652.49,5515729.52
eonia_up,CPTY_A,2034-08-07,18.501632,130617.02,100867.26,458421.11,0.00,274309.81,8085452.72,2037759.57,5551498.89
eonia_up,CPTY_A,2034-11-06,18.750947,67904.18,113009.05,320405.87,0.00,144038.03,8085452.72,2012580.40,5585190.68
eonia_up,CPTY_A,2035-02-05,19.000262,50448.54,123042.38,272174.96,0.00,108085.75,8085452.72,1987590.26,5617998.28
eonia_up,CPTY_A,2035-05-07,19.249577,74177.60,44721.01,272364.64,0.00,160520.96,8085452.72,1963926.58,5649956.05
eonia_up,CPTY_A,2035-08-06,19.498892,53038.25,48339.56,230871.07,0.00,115927.71,8085452.72,1940297.85,5681096.59
eonia_up,CPTY_A,2035-11-05,19.748207,7109.17,78912.12,61040.81,0.00,15694.80,8085452.72,1916000.33,5711450.85
eonia_up,CPTY_A,2036-02-05,20.000000,1654.99,98577.21,3031.30,0.00,3690.79,8085452.72,1891925.04,5741338.68
eonia_up,CPTY_A,2036-05-05,20.245902,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
eonia_up,CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,8085452.72,0.00,0.00
no_shift,CPTY_A,2016-02-05,0.000000,0.00,36755068.00,0.00,-36755066.82,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2016-05-05,0.245902,0.00,36686492.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2016-08-05,0.497268,0.00,36219184.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2016-11-07,0.754098,0.00,36518580.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2017-02-06,1.003002,0.00,35010540.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2017-05-05,1.244098,0.00,34855996.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2017-08-07,1.501632,0.00,33654320.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2017-11-06,1.750947,0.00,33785924.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2018-02-05,2.000262,0.00,32461188.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2018-05-07,2.249577,0.00,32362514.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2018-08-06,2.498892,0.00,31453724.00,0.00,0.00,0.00,0.00,0.00,0.00
no_shift,CPTY_A,2018-11-05,2.748207,38884.20,31488676.00,0.00,0.00,41091.79,41091.79,3727.81,3727.81
no_shift,CPTY_A,2019-02-05,3.000262,104925.68,30523438.00,0.00,0.00,111445.16,111445.16,12777.25,12777.25
no_shift,CPTY_A,2019-05-06,3.246837,99798.45,30177408.00,0.00,0.00,106525.36,111445.16,19896.78,20270.41
no_shift,CPTY_A,2019-08-05,3.496152,229320.66,29381170.00,0.00,0.00,246006.21,246006.21,36020.93,36367.91
no_shift,CPTY_A,2019-11-05,3.748207,255914.08,29794254.00,400459.65,0.00,275927.29,275927.29,52153.86,52477.51
no_shift,CPTY_A,2020-02-05,4.000000,333264.16,29024226.00,0.00,0.00,361149.22,361149.22,71604.56,71907.84
no_shift,CPTY_A,2020-05-05,4.245902,337504.47,28807518.00,0.00,0.00,367559.24,367559.24,88744.79,89030.50
no_shift,CPTY_A,2020-08-05,4.497268,569355.13,28080406.00,1938540.37,0.00,623201.65,623201.65,118617.23,118886.97
no_shift,CPTY_A,2020-11-05,4.748634,481406.13,28425434.00,0.00,0.00,529607.93,623201.65,140372.78,145582.57
no_shift,CPTY_A,2021-02-05,5.000262,310815.81,27646996.00,0.00,0.00,343671.46,623201.65,150603.38,169617.79
no_shift,CPTY_A,2021-05-05,5.244098,480100.59,27672698.00,3040289.89,0.00,533455.87,623201.65,168404.93,190708.15
no_shift,CPTY_A,2021-08-05,5.496152,660728.56,27023116.00,1037048.20,0.00,737881.87,737881.87,194521.27,215801.66
no_shift,CPTY_A,2021-11-05,5.748207,1101001.63,27390788.00,4913561.38,0.00,1235802.96,1235802.96,240180.73,260527.99
no_shift,CPTY_A,2022-02-07,6.005741,1225813.13,26663692.00,6901452.22,0.00,1383027.65,1383027.65,289187.54,308662.28
no_shift,CPTY_A,2022-05-05,6.244098,1207939.50,26471468.00,3877728.44,0.00,1369398.51,1383027.65,330422.47,349674.07
no_shift,CPTY_A,2022-08-05,6.496152,1529745.50,25806384.00,8282666.43,0.00,1743015.98,1743015.98,385231.99,403736.61
no_shift,CPTY_A,2022-11-07,6.753687,1427604.75,25900946.00,4232467.25,0.00,1635066.75,1743015.98,432891.18,454806.54
no_shift,CPTY_A,2023-02-06,7.003002,1603395.25,25501904.00,4961154.42,0.00,1845617.57,1845617.57,483185.89,504321.04
no_shift,CPTY_A,2023-05-05,7.244098,1595095.75,25334676.00,5457323.80,0.00,1844972.29,1845617.57,528508.46,548961.67
no_shift,CPTY_A,2023-08-07,7.501632,1631086.50,24700886.00,5428105.45,0.00,1896380.04,1896380.04,575468.08,595219.12
no_shift,CPTY_A,2023-11-06,7.750947,1576764.13,24878388.00,4818512.88,0.00,1842420.47,1896380.04,616220.56,637071.95
no_shift,CPTY_A,2024-02-05,8.000000,1694576.13,24503752.00,5738459.26,0.00,1990016.82,1990016.82,658989.08,679191.33
no_shift,CPTY_A,2024-05-06,8.248634,1998003.88,24447372.00,8942604.77,0.00,2358117.85,2358117.85,710204.96,729798.26
no_shift,CPTY_A,2024-08-05,8.497268,1989931.75,23806464.00,10389841.43,0.00,2360374.36,2360374.36,758489.66,777509.65
no_shift,CPTY_A,2024-11-05,8.748634,2071098.88,24047292.00,11086296.38,0.00,2469112.80,2469112.80,807639.35,826112.86
no_shift,CPTY_A,2025-02-05,9.000262,2318050.50,23736290.00,15816161.63,0.00,2777540.52,2777540.52,862713.59,880670.62
no_shift,CPTY_A,2025-05-05,9.244098,2211238.75,23516662.00,14631485.88,0.00,2662557.86,2777540.52,910188.87,930705.19
no_shift,CPTY_A,2025-08-05,9.496152,2612069.50,23254330.00,20085302.78,0.00,3161154.45,3161154.45,969935.87,989907.63
no_shift,CPTY_A,2025-11-05,9.748207,2629567.50,23403074.00,21401980.35,0.00,3198474.48,3198474.48,1027558.14,1047013.50
no_shift,CPTY_A,2026-02-05,10.000262,885718.38,424325.91,3245306.41,0.00,1082808.88,3198474.48,1028950.73,1101240.69
no_shift,CPTY_A,2026-05-05,10.244098,772794.44,443853.94,3392355.32,0.00,949392.99,3198474.48,1027057.05,1151160.19
no_shift,CPTY_A,2026-08-05,10.496152,783823.50,490448.75,3161246.55,0.00,967827.23,3198474.48,1025634.71,1200324.43
no_shift,CPTY_A,2026-11-05,10.748207,710495.81,519737.00,2854447.10,0.00,881736.07,3198474.48,1022260.16,1247182.79
no_shift,CPTY_A,2027-02-05,11.000262,712515.94,522827.19,3213686.25,0.00,888728.65,3198474.48,1019200.48,1291893.76
no_shift,CPTY_A,2027-05-05,11.244098,772413.25,436006.94,3302968.68,0.00,968166.74,3198474.48,1018093.78,1333239.21
no_shift,CPTY_A,2027-08-05,11.496152,727032.63,440375.75,2904504.81,0.00,915908.07,3198474.48,1015853.34,1374134.76
no_shift,CPTY_A,2027-11-05,11.748207,627080.88,467242.44,2295611.56,0.00,793997.34,3198474.48,1011093.48,1413275.51
no_shift,CPTY_A,2028-02-07,12.005464,623666.63,489868.47,2330986.61,0.00,793767.48,3198474.48,1006436.54,1451529.38
no_shift,CPTY_A,2028-05-05,12.245902,687109.00,398984.75,2629772.97,0.00,878756.12,3198474.48,1003929.65,1485829.06
no_shift,CPTY_A,2028-08-07,12.502732,663070.75,410714.66,2573892.37,0.00,852408.63,3198474.48,1000817.11,1521010.15
no_shift,CPTY_A,2028-11-06,12.751366,563628.75,430820.41,2234763.95,0.00,728206.81,3198474.48,995501.59,1553718.36
no_shift,CPTY_A,2029-02-05,13.000262,541048.56,433161.97,2254442.27,0.00,702540.60,3198474.48,989892.72,1585207.96
no_shift,CPTY_A,2029-05-07,13.249577,587566.06,342465.56,2206516.20,0.00,766770.65,3198474.48,985694.27,1615564.53
no_shift,CPTY_A,2029-08-06,13.498892,554727.88,350491.09,1945521.73,0.00,727549.15,3198474.48,980926.51,1644799.76
no_shift,CPTY_A,2029-11-05,13.748207,474937.88,378423.13,1783066.66,0.00,626026.56,3198474.48,974490.63,1672974.68
no_shift,CPTY_A,2030-02-05,14.000262,457154.25,388846.84,1845589.02,0.00,605642.31,3198474.48,967850.04,1700439.13
no_shift,CPTY_A,2030-05-06,14.246837,508225.44,298643.66,1820710.52,0.00,676642.94,3198474.48,962810.01,1726366.19
no_shift,CPTY_A,2030-08-05,14.496152,498107.84,320830.31,1976001.59,0.00,666499.94,3198474.48,957713.86,1751684.54
no_shift,CPTY_A,2030-11-05,14.748207,401472.75,349330.97,1473193.31,0.00,539921.08,3198474.48,950573.55,1776410.96
no_shift,CPTY_A,2031-02-05,15.000262,382295.56,365951.72,1405227.73,0.00,516738.65,3198474.48,943283.67,1800306.41
no_shift,CPTY_A,2031-05-05,15.244098,426118.91,269600.16,1556737.23,0.00,578799.75,3198474.48,937453.60,1822670.68
no_shift,CPTY_A,2031-08-05,15.496152,404777.50,285542.06,1495959.49,0.00,552600.66,3198474.48,931193.72,1845049.01
no_shift,CPTY_A,2031-11-05,15.748207,321453.66,312000.38,1321832.64,0.00,441073.43,3198474.48,923349.20,1866710.99
no_shift,CPTY_A,2032-02-05,16.000000,305628.19,313975.97,1258090.84,0.00,421486.28,3198474.48,915451.36,1887669.02
no_shift,CPTY_A,2032-05-05,16.245902,351441.78,227589.30,1406926.80,0.00,487071.98,3198474.48,908967.31,1907509.67
no_shift,CPTY_A,2032-08-05,16.497268,328919.09,234058.19,1274021.76,0.00,458169.66,3198474.48,902098.58,1927179.88
no_shift,CPTY_A,2032-11-05,16.748634,248571.56,256302.83,1016257.72,0.00,348005.57,3198474.48,893782.67,1946259.67
no_shift,CPTY_A,2033-02-07,17.005741,226903.45,258244.39,939163.69,0.00,319316.33,3198474.48,885097.39,1965191.74
no_shift,CPTY_A,2033-05-05,17.244098,263516.53,168564.97,992881.67,0.00,372619.85,3198474.48,878013.68,1982238.76
no_shift,CPTY_A,2033-08-05,17.496152,238827.34,175389.17,1043302.59,0.00,339421.74,3198474.48,870254.56,1999760.22
no_shift,CPTY_A,2033-11-07,17.753687,157407.83,198003.33,685249.38,0.00,224867.76,3198474.48,860892.60,2017148.72
no_shift,CPTY_A,2034-02-06,18.003002,142521.17,206541.38,621139.02,0.00,204622.72,3198474.48,851804.23,2033508.34
no_shift,CPTY_A,2034-05-05,18.244098,180531.16,120984.84,614322.18,0.00,260452.55,3198474.48,843989.52,2048903.38
no_shift,CPTY_A,2034-08-07,18.501632,163451.72,130793.97,628205.16,0.00,237034.29,3198474.48,835540.98,2064904.88
no_shift,CPTY_A,2034-11-06,18.750947,81018.49,146934.22,361823.22,0.00,118080.85,3198474.48,826001.53,2079976.97
no_shift,CPTY_A,2035-02-05,19.000262,65177.95,159042.63,349348.62,0.00,95470.59,3198474.48,816415.75,2094653.52
no_shift,CPTY_A,2035-05-07,19.249577,88651.84,57686.55,370789.67,0.00,130505.94,3198474.48,807532.04,2108949.90
no_shift,CPTY_A,2035-08-06,19.498892,68453.16,62328.16,323190.34,0.00,101276.73,3198474.48,798501.78,2122880.69
no_shift,CPTY_A,2035-11-05,19.748207,8535.81,103382.56,69158.46,0.00,12692.13,3198474.48,788581.17,2136459.73
no_shift,CPTY_A,2036-02-05,20.000000,2917.43,122896.86,14530.94,0.00,4360.01,3198474.48,778708.11,2149830.11
no_shift,CPTY_A,2036-05-05,20.245902,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
no_shift,CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,3198474.48,0.00,0.00
